Result Number;Widget;Data Source;Result Row;Source Page URL;stato;comune;provincia;regione;provincia_scr;comune_scr;tipo_scr;Categoria;Sottocategoria;Ente destinatario;Dettaglio bene;Decreto destinazione
1;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;1;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Abitazione indipendente;;;
2;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;2;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Abitazione indipendente;;;
3;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;3;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Terreno;Terreno;Terreno agricolo;;;
4;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;4;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Terreno;Terreno;Terreno agricolo;;;
5;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;5;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Terreno;Terreno;Terreno agricolo;;;
6;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;6;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
7;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;7;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
8;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;8;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
9;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;9;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
10;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;10;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
11;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;11;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
12;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;12;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
13;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;13;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Fabbricato;Unità immobiliare a destinazione commerciale e industriale;Altro;;;
14;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;14;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;;;
15;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;15;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Terreno;Terreno;Terreno agricolo;;;
16;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;16;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=12&provincia=65&comune=9500&tipo=0&stato=1;1;9500;65;12;RM;Fonte Nuova;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
17;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;17;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=1;1;7473;93;19;ME;Giardini-Naxos;Terreno;Terreno;Terreno edificabile;;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&id=65&Itemid=27&stato=1&tipo=0&page=1&id_bene=222116;http://www.benisequestraticonfiscati.it/Joomla/images/pdf/provvedimenti/2013_0002307.pdf
18;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;18;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=87&comune=7100&tipo=0&stato=2;2;7100;87;18;CZ;Conflenti;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Villa;Comuni;;
19;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;19;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=2;2;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Carabinieri;;
20;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;20;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=2;2;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Carabinieri;;
21;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;21;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=2;2;7174;88;18;RC;Bova Marina;Locale;Unità immobiliare per uso di abitazione e assimilabile;Box, garage, autorimessa, posto auto;Carabinieri;;
22;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;22;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Comuni;;
23;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;23;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Carabinieri;;
24;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;24;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Carabinieri;;
25;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;25;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Carabinieri;;
26;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;26;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Carabinieri;;
27;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;27;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Ministeri;;
28;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;28;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;Comuni;;
29;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;29;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Locale;Unità immobiliare per uso di abitazione e assimilabile;Box, garage, autorimessa, posto auto;Carabinieri;;
30;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;30;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=19&provincia=93&comune=7473&tipo=0&stato=2;2;7473;93;19;ME;Giardini-Naxos;Locale;Unità immobiliare per uso di abitazione e assimilabile;Box, garage, autorimessa, posto auto;Carabinieri;;
31;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;31;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=2;2;6495;78;15;SA;Salerno;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Comuni;;
32;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;32;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=2;2;6495;78;15;SA;Salerno;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Comuni;;
33;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;33;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=2;2;6495;78;15;SA;Salerno;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Comuni;;
34;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;34;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=2;2;6495;78;15;SA;Salerno;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Comuni;;
35;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;35;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=1;1;6495;78;15;SA;Salerno;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
36;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;36;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=1;1;6495;78;15;SA;Salerno;Altri beni immobili;Altra unità immobiliare;Altro;;;
37;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;37;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=1;1;6495;78;15;SA;Salerno;Capannone;Unità immobiliare a destinazione commerciale e industriale;Altro;;;
38;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;38;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=1;1;6495;78;15;SA;Salerno;Capannone;Unità immobiliare a destinazione commerciale e industriale;Altro;;;
39;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;39;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=1;1;6495;78;15;SA;Salerno;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;;;
40;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;40;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=1;1;6495;78;15;SA;Salerno;Terreno;Terreno;Terreno agricolo;;;
41;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;41;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=4;4;7218;88;18;RC;Palmi;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;;;
42;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;42;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=1;1;7218;88;18;RC;Palmi;Fabbricato;Unità immobiliare a destinazione commerciale e industriale;Altro;;;
43;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;43;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=1;1;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;;;
44;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;44;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=4;4;6495;78;15;SA;Salerno;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
45;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;45;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=4;4;6495;78;15;SA;Salerno;Terreno;Terreno;Terreno agricolo;;;
46;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;46;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=78&comune=6495&tipo=0&stato=3;3;6495;78;15;SA;Salerno;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;Comuni;;
47;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;47;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=2;2;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;Carabinieri;;
48;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;48;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=2;2;6224;76;15;NA;Pollena Trocchia;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;Carabinieri;;
49;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;49;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=2;2;6224;76;15;NA;Pollena Trocchia;Terreno;Terreno;Terreno edificabile;Carabinieri;;
50;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;50;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Villa;Comuni;;
51;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;51;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Altro;Comuni;;
52;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;52;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Fabbricato;Unità immobiliare a destinazione commerciale e industriale;Altro;Comuni;;
53;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;53;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;Comuni;;
54;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;54;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Locale;Unità immobiliare per uso di abitazione e assimilabile;Altro;Comuni;;
55;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;55;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
56;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;56;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno con fabbricato rurale;Comuni;;
57;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;57;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
58;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;58;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
59;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;59;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno con fabbricato rurale;Comuni;;
60;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;60;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
61;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;61;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
62;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;62;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
63;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;63;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
64;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;64;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
65;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;65;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno agricolo;Comuni;;
66;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;66;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7218&tipo=0&stato=2;2;7218;88;18;RC;Palmi;Terreno;Terreno;Terreno con fabbricato rurale;Comuni;;
67;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;67;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
68;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;68;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
69;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;69;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
70;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;70;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
71;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;71;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
72;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;72;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
73;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;73;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
74;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;74;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
75;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;75;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
76;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;76;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
77;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;77;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
78;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;78;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=15&provincia=76&comune=6224&tipo=0&stato=1;1;6224;76;15;NA;Pollena Trocchia;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
